"GEOID","urbanPercent","URBAN_POP","TRACT_POP"
"060014001",1,3038,3038
"060014002",1,2001,2001
"060014003",1,5504,5504
"060014004",1,4112,4112
"060014005",1,3644,3644
"060014006",1,1788,1788
"060014007",1,4508,4508
"060014008",1,3917,3917
"060014009",1,2514,2514
"060014010",1,6097,6097
"060014011",1,4966,4966
"060014012",1,2989,2989
"060014013",0.5,5887,11774
"060014014",0.5,5355,10710
"060014015",0.5,2661,5322
"060014016",1,2971,2971
"060014017",1,6121,6121
"060014018",1,1981,1981
"060014022",1,3250,3250
"060014024",1,2459,2459
"060014025",1,2010,2010
"060014026",1,1226,1226
"060014027",1,1827,1827
"060014028",1,4394,4394
"060014029",1,1917,1917
"060014030",1,3007,3007
"060014031",1,1690,1690
"060014033",1,5219,5219
"060014034",1,4555,4555
"060014035",0.577221742881795,8028,13908
"060014036",1,4717,4717
"060014037",1,4935,4935
"060014038",1,3710,3710
"060014039",1,3943,3943
"060014040",1,3049,3049
"060014041",1,5655,5655
"060014042",1,3641,3641
"060014043",1,3416,3416
"060014044",1,5621,5621
"060014045",1,7965,7965
"060014046",0.997363216875412,4539,4551
"060014047",1,1982,1982
"060014048",0.5,2757,5514
"060014049",1,4458,4458
"060014050",1,3313,3313
"060014051",1,4363,4363
"060014052",1,4839,4839
"060014053",1,5788,5788
"060014054",1,7046,7046
"060014055",1,3844,3844
"060014056",1,3224,3224
"060014057",1,3423,3423
"060014058",1,4320,4320
"060014059",1,7460,7460
"060014060",1,5223,5223
"060014061",1,5887,5887
"060014062",1,9788,9788
"060014063",1,3989,3989
"060014064",1,2211,2211
"060014065",1,6196,6196
"060014066",1,7388,7388
"060014067",0.5,5567,11134
"060014068",1,3569,3569
"060014069",1,3839,3839
"060014070",1,6079,6079
"060014071",1,7940,7940
"060014072",1,6823,6823
"060014073",1,3943,3943
"060014074",1,4412,4412
"060014075",1,4383,4383
"060014076",1,6390,6390
"060014077",1,4465,4465
"060014078",1,2373,2373
"060014079",1,3081,3081
"060014080",0.5,2630,5260
"060014081",0.993295589988081,6667,6712
"060014082",1,4471,4471
"060014083",1,4791,4791
"060014084",1,3927,3927
"060014085",1,5752,5752
"060014086",1,6167,6167
