"GEOID","urbanPercent","URBAN_POP","TRACT_POP"
"120010002",0.5,9130,18260
"120010003",0.5,6028,12056
"120010004",0.5,5330,10660
"120010005",0.5,5441,10882
"120010006",0.492077464788732,4472,9088
"120010007",0.30798247748844,5062,16436
"120010008",0.421857442962529,8635,20469
"120010009",1,9535,9535
"120010010",0.5,7614,15228
"120010011",0.340684881979237,6596,19361
"120010012",0.430940901785985,14212,32979
"120010014",0.264039155074704,2050,7764
"120010015",0.603195278314847,29638,49135
"120010016",0.5,10468,20936
"120010017",0.406434735340083,11963,29434
"120010018",0.119473539242617,16049,134331
"120010019",0.146317045935852,3800,25971
"120010021",0,0,7737
"120010022",0.284430363705487,56111,197275
"120011108",0.26792828685259,1614,6024
"120030401",0.225615602272993,9648,42763
"120030402",0.042677650479388,1233,28891
"120050002",0.12152941971222,3598,29606
"120050003",0.0630952380952381,1643,26040
"120050004",0.264690284259652,4991,18856
"120050005",0.185389809699202,4228,22806
"120050007",0.187943262411348,53,282
"120050008",0.423227557282511,13724,32427
"120050009",0.5,3948,7896
"120050010",0.49078980570275,1945,3963
"120050011",0.358915683858476,4078,11362
"120050012",0.372776769509982,3081,8265
"120050013",0.332494224960019,11227,33766
"120050014",0.361061460195243,15756,43638
"120050015",0.342845605061246,10188,29716
"120050016",0.5,2660,5320
"120050017",0.333333333333333,2790,8370
"120050018",0.5,1413,2826
"120050019",0.5,3796,7592
"120050020",0.5,1246,2492
"120050022",0.5,4451,8902
"120050023",0.5,3802,7604
"120050024",0.5,3952,7904
"120050025",0.333333333333333,2912,8736
"120050026",0.551300301122365,20139,36530
"120050027",0.419648622013797,24698,58854
"120070001",0.233503441727985,3935,16852
"120070002",0.113914441368224,2551,22394
"120070003",0.0923988662715795,1793,19405
"120090601",0.271448663853727,3474,12798
"120090602",0.633978207694018,5702,8994
"120090603",0.357542316009246,4795,13411
"120090604",0.498129092609916,4260,8552
"120090605",0.5,5023,10046
"120090606",0.490960555149744,5377,10952
"120090607",1,3618,3618
"120090610",0.5,8921,17842
"120090611",0.494558258642766,6180,12496
"120090612",0.397183641975309,12354,31104
"120090621",0.496398991717681,33084,66648
"120090623",0.5,7429,14858
"120090624",0.409133893308116,7355,17977
"120090625",0.497301964170084,4608,9266
"120090626",0.5,3190,6380
"120090628",0.305982215036378,3785,12370
"120090629",0.495649926780946,5754,11609
"120090630",0.490757439134355,4354,8872
"120090631",0.360369015990039,36758,102001
"120090641",0.494651918764953,46107,93211
"120090642",0.5,5476,10952
"120090643",0.5,11757,23514
"120090644",0.5,5137,10274
"120090645",0.5,4541,9082
"120090646",0.470593533279294,10450,22206
"120090647",0.5,4297,8594
"120090648",0.5,3144,6288
"120090649",0.451366164921466,11035,24448
"120090650",0.501984081473496,21885,43597
"120090651",0.816128569378677,28438,34845
"120090652",0.527979262829987,23220,43979
"120090661",0.551218811359609,11510,20881
"120090662",1,2883,2883
"120090663",0.449760386549962,11356,25249
"120090664",0.5,5485,10970
"120090665",1,3738,3738
"120090666",1,4411,4411
"120090667",0.498051948051948,5369,10780
"120090668",0.5,1670,3340
"120090669",0.5,6274,12548
"120090671",1,1308,1308
"120090681",0.491740088105727,5358,10896
"120090684",0.5,2020,4040
"120090685",0.517706949977866,4678,9036
"120090686",0.726465808226028,5811,7999
"120090691",0.5,4536,9072
"120090692",1,2494,2494
"120090693",1,3043,3043
"120090694",0.248136104060914,6257,25216
"120090697",0.41716696414084,2571,6163
"120090698",0.647615165103954,7943,12265
"120090699",0.660747317795043,10716,16218
"120090711",0.0105826126536186,93,8788
"120090712",0.371122615121279,17779,47906
"120090713",0.547958587854833,97598,178112
"120090714",0.68877755511022,3437,4990
"120090715",0.5,2555,5110
"120090716",0.5,4955,9910
"120090717",0.5,5717,11434
"120110101",0.684297769740808,9082,13272
"120110102",0.653388765348545,6758,10343
"120110103",0.513813301355963,22281,43364
"120110104",0.585468470943811,34093,58232
"120110105",0.382833660222284,32792,85656
"120110106",0.63643116785357,64256,100963
"120110107",0.5,15679,31358
"120110108",0.5,7624,15248
"120110109",0.5,5475,10950
"120110110",1,1987,1987
"120110201",0.425585284280936,17306,40664
"120110202",0.480564353584797,40056,83352
"120110203",0.574761023914223,103780,180562
"120110204",0.517961126537088,65289,126050
"120110205",0.289369641508596,13028,45022
"120110301",0.5,3977,7954
"120110302",0.600151789363068,10280,17129
"120110303",0.392760243156919,11436,29117
"120110304",0.5,7510,15020
"120110305",0.371792731118161,6680,17967
"120110306",0.334816753926702,7674,22920
"120110307",0.626534255746485,16845,26886
"120110308",0.464406161699025,15285,32913
"120110309",0.5,12918,25836
"120110310",0.425028455041035,7095,16693
"120110311",0.5,6368,12736
"120110312",0.497788932711844,12495,25101
"120110401",0.421837015114681,3991,9461
"120110402",0.570118456247612,13428,23553
"120110403",0.5,4003,8006
"120110404",0.5,5266,10532
"120110405",0.609089120598072,9288,15249
"120110406",0.5,7181,14362
"120110407",0.5,6822,13644
"120110408",0.291574068194806,9184,31498
"120110409",0.5,8176,16352
"120110410",0.5,2878,5756
"120110411",0.400281314776429,5407,13508
